# x_m,y_m,w_tr_right_m,w_tr_left_m
8.1000,7.3462,0.1664,0.1664
8.1225,7.3462,0.1665,0.1665
8.1450,7.3462,0.1657,0.1657
8.1675,7.3462,0.1652,0.1652
8.1900,7.3350,0.1687,0.1687
8.2125,7.3350,0.1687,0.1687
8.2350,7.3350,0.1687,0.1687
8.2575,7.3350,0.1687,0.1687
8.2800,7.3350,0.1687,0.1687
8.3025,7.3350,0.1684,0.1684
8.3250,7.3350,0.1671,0.1671
8.3475,7.3350,0.1661,0.1661
8.3700,7.3350,0.1654,0.1654
8.3925,7.3350,0.1650,0.1650
8.4150,7.3350,0.1650,0.1650
8.4375,7.3350,0.1654,0.1654
8.4600,7.3237,0.1665,0.1665
8.4825,7.3237,0.1672,0.1672
8.5050,7.3125,0.1656,0.1656
8.5275,7.3125,0.1664,0.1664
8.5500,7.3125,0.1647,0.1647
8.5725,7.3012,0.1671,0.1671
8.5950,7.3012,0.1661,0.1661
8.6175,7.3012,0.1654,0.1654
8.6400,7.3012,0.1650,0.1650
8.6625,7.3012,0.1650,0.1650
8.6850,7.3012,0.1650,0.1650
8.7075,7.3012,0.1650,0.1650
8.7300,7.3012,0.1650,0.1650
8.7525,7.3012,0.1650,0.1650
8.7750,7.3012,0.1650,0.1650
8.7975,7.3012,0.1650,0.1650
8.8200,7.3012,0.1650,0.1650
8.8425,7.3012,0.1650,0.1650
8.8650,7.3012,0.1650,0.1650
8.8875,7.3012,0.1650,0.1650
8.9100,7.2900,0.1685,0.1685
8.9325,7.2787,0.1674,0.1674
8.9550,7.2787,0.1674,0.1674
8.9775,7.2787,0.1656,0.1656
9.0000,7.2675,0.1677,0.1677
9.0225,7.2562,0.1684,0.1684
9.0450,7.2562,0.1687,0.1687
9.0675,7.2562,0.1687,0.1687
9.0900,7.2562,0.1687,0.1687
9.1125,7.2562,0.1687,0.1687
9.1350,7.2562,0.1687,0.1687
9.1575,7.2562,0.1687,0.1687
9.1800,7.2562,0.1687,0.1687
9.2025,7.2562,0.1687,0.1687
9.2250,7.2562,0.1687,0.1687
9.2475,7.2562,0.1687,0.1687
9.2700,7.2562,0.1687,0.1687
9.2925,7.2562,0.1679,0.1679
9.3150,7.2450,0.1677,0.1677
9.3375,7.2337,0.1656,0.1656
9.3600,7.2337,0.1674,0.1674
9.3825,7.2337,0.1656,0.1656
9.4050,7.2225,0.1677,0.1677
9.4275,7.2225,0.1665,0.1665
9.4500,7.2225,0.1657,0.1657
9.4725,7.2225,0.1652,0.1652
9.4950,7.2225,0.1650,0.1650
9.5175,7.2225,0.1650,0.1650
9.5400,7.2225,0.1650,0.1650
9.5625,7.2225,0.1650,0.1650
9.5850,7.2225,0.1650,0.1650
9.6075,7.2225,0.1650,0.1650
9.6300,7.2225,0.1650,0.1650
9.6525,7.2225,0.1650,0.1650
9.6750,7.2225,0.1650,0.1650
9.6975,7.2225,0.1650,0.1650
9.7200,7.2225,0.1650,0.1650
9.7425,7.2225,0.1650,0.1650
9.7650,7.2112,0.1684,0.1684
9.7875,7.2112,0.1687,0.1687
9.8100,7.2112,0.1672,0.1672
9.8325,7.2000,0.1685,0.1685
9.8550,7.2000,0.1664,0.1664
9.8775,7.1887,0.1684,0.1684
9.9000,7.1887,0.1671,0.1671
9.9225,7.1887,0.1661,0.1661
9.9450,7.1887,0.1654,0.1654
9.9675,7.1887,0.1650,0.1650
9.9900,7.1887,0.1650,0.1650
10.0125,7.1887,0.1650,0.1650
10.0350,7.1887,0.1650,0.1650
10.0575,7.1887,0.1650,0.1650
10.0800,7.1887,0.1650,0.1650
10.1025,7.1887,0.1650,0.1650
10.1250,7.1887,0.1650,0.1650
10.1475,7.1887,0.1650,0.1650
10.1700,7.1887,0.1650,0.1650
10.1925,7.1775,0.1657,0.1657
10.2150,7.1775,0.1665,0.1665
10.2375,7.1775,0.1649,0.1649
10.2600,7.1662,0.1656,0.1656
10.2825,7.1662,0.1647,0.1647
10.3050,7.1662,0.1634,0.1634
10.3275,7.1550,0.1661,0.1661
10.3500,7.1550,0.1654,0.1654
10.3725,7.1437,0.1687,0.1687
10.3950,7.1437,0.1687,0.1687
10.4175,7.1437,0.1687,0.1687
10.4400,7.1437,0.1687,0.1687
10.4625,7.1437,0.1687,0.1687
10.4850,7.1437,0.1687,0.1687
10.5075,7.1437,0.1687,0.1687
10.5300,7.1437,0.1687,0.1687
10.5525,7.1437,0.1687,0.1687
10.5750,7.1437,0.1687,0.1687
10.5975,7.1437,0.1687,0.1687
10.6200,7.1437,0.1687,0.1687
10.6425,7.1437,0.1684,0.1684
10.6650,7.1437,0.1671,0.1671
10.6875,7.1325,0.1692,0.1692
10.7100,7.1325,0.1684,0.1684
10.7325,7.1212,0.1696,0.1696
10.7550,7.1212,0.1674,0.1674
10.7775,7.1100,0.1687,0.1687
10.8000,7.1100,0.1677,0.1677
10.8225,7.1100,0.1665,0.1665
10.8450,7.1100,0.1657,0.1657
10.8675,7.1100,0.1652,0.1652
10.8900,7.1100,0.1650,0.1650
10.9125,7.1100,0.1650,0.1650
10.9350,7.1100,0.1650,0.1650
10.9575,7.1100,0.1650,0.1650
10.9800,7.1100,0.1650,0.1650
11.0025,7.1100,0.1650,0.1650
11.0250,7.1100,0.1650,0.1650
11.0475,7.1100,0.1650,0.1650
11.0700,7.1100,0.1650,0.1650
11.0925,7.0987,0.1684,0.1684
11.1150,7.0987,0.1685,0.1685
11.1375,7.0875,0.1685,0.1685
11.1600,7.0875,0.1674,0.1674
11.1825,7.0875,0.1656,0.1656
11.2050,7.0762,0.1677,0.1677
11.2275,7.0762,0.1665,0.1665
11.2500,7.0762,0.1657,0.1657
11.2725,7.0762,0.1652,0.1652
11.2950,7.0762,0.1650,0.1650
11.3175,7.0762,0.1650,0.1650
11.3400,7.0762,0.1650,0.1650
11.3625,7.0762,0.1650,0.1650
11.3850,7.0762,0.1650,0.1650
11.4075,7.0762,0.1650,0.1650
11.4300,7.0762,0.1650,0.1650
11.4525,7.0650,0.1687,0.1687
11.4750,7.0650,0.1687,0.1687
11.4975,7.0650,0.1672,0.1672
11.5200,7.0537,0.1685,0.1685
11.5425,7.0537,0.1664,0.1664
11.5650,7.0537,0.1647,0.1647
11.5875,7.0425,0.1671,0.1671
11.6100,7.0312,0.1687,0.1687
11.6325,7.0312,0.1687,0.1687
11.6550,7.0312,0.1687,0.1687
11.6775,7.0312,0.1687,0.1687
11.7000,7.0312,0.1687,0.1687
11.7225,7.0312,0.1687,0.1687
11.7450,7.0312,0.1687,0.1687
11.7675,7.0312,0.1687,0.1687
11.7900,7.0312,0.1687,0.1687
11.8125,7.0312,0.1687,0.1687
11.8350,7.0312,0.1684,0.1684
11.8575,7.0312,0.1671,0.1671
11.8800,7.0312,0.1661,0.1661
11.9025,7.0312,0.1654,0.1654
11.9250,7.0200,0.1661,0.1661
11.9475,7.0200,0.1660,0.1660
11.9700,7.0088,0.1647,0.1647
11.9925,7.0088,0.1656,0.1656
12.0150,7.0088,0.1640,0.1640
12.0375,6.9975,0.1665,0.1665
12.0600,6.9975,0.1657,0.1657
12.0825,6.9975,0.1652,0.1652
12.1050,6.9975,0.1650,0.1650
12.1275,6.9975,0.1650,0.1650
12.1500,6.9975,0.1650,0.1650
12.1725,6.9975,0.1650,0.1650
12.1950,6.9975,0.1650,0.1650
12.2175,6.9975,0.1650,0.1650
12.2400,6.9975,0.1650,0.1650
12.2625,6.9975,0.1650,0.1650
12.2850,6.9975,0.1650,0.1650
12.3075,6.9975,0.1650,0.1650
12.3300,6.9975,0.1650,0.1650
12.3525,6.9975,0.1650,0.1650
12.3750,6.9863,0.1684,0.1684
12.3975,6.9863,0.1687,0.1687
12.4200,6.9863,0.1687,0.1687
12.4425,6.9750,0.1708,0.1708
12.4650,6.9750,0.1696,0.1696
12.4875,6.9638,0.1710,0.1710
12.5100,6.9525,0.1687,0.1687
12.5325,6.9525,0.1687,0.1687
12.5550,6.9525,0.1687,0.1687
12.5775,6.9525,0.1687,0.1687
12.6000,6.9525,0.1687,0.1687
12.6225,6.9525,0.1687,0.1687
12.6450,6.9525,0.1687,0.1687
12.6675,6.9525,0.1687,0.1687
12.6900,6.9525,0.1687,0.1687
12.7125,6.9525,0.1687,0.1687
12.7350,6.9525,0.1687,0.1687
12.7575,6.9525,0.1687,0.1687
12.7800,6.9525,0.1687,0.1687
12.8025,6.9413,0.1684,0.1684
12.8250,6.9413,0.1694,0.1694
12.8475,6.9413,0.1702,0.1702
12.8700,6.9413,0.1714,0.1714
12.8925,6.9413,0.1725,0.1725
12.9150,6.9300,0.1710,0.1710
12.9375,6.9300,0.1725,0.1725
12.9600,6.9188,0.1687,0.1687
12.9825,6.9188,0.1687,0.1687
13.0050,6.9188,0.1687,0.1687
13.0275,6.9188,0.1687,0.1687
13.0500,6.9188,0.1687,0.1687
13.0725,6.9188,0.1687,0.1687
13.0950,6.9188,0.1687,0.1687
13.1175,6.9188,0.1687,0.1687
13.1400,6.9188,0.1687,0.1687
13.1625,6.9188,0.1687,0.1687
13.1850,6.9188,0.1687,0.1687
13.2075,6.9188,0.1687,0.1687
13.2300,6.9188,0.1677,0.1677
13.2525,6.9075,0.1684,0.1684
13.2750,6.9075,0.1694,0.1694
13.2975,6.9075,0.1689,0.1689
13.3200,6.8962,0.1708,0.1708
13.3425,6.8962,0.1685,0.1685
13.3650,6.8850,0.1687,0.1687
13.3875,6.8850,0.1684,0.1684
13.4100,6.8850,0.1671,0.1671
13.4325,6.8850,0.1661,0.1661
13.4550,6.8850,0.1654,0.1654
13.4775,6.8850,0.1650,0.1650
13.5000,6.8850,0.1650,0.1650
13.5225,6.8850,0.1650,0.1650
13.5450,6.8850,0.1650,0.1650
13.5675,6.8850,0.1650,0.1650
13.5900,6.8850,0.1650,0.1650
13.6125,6.8850,0.1650,0.1650
13.6350,6.8850,0.1650,0.1650
13.6575,6.8850,0.1650,0.1650
13.6800,6.8850,0.1650,0.1650
13.7025,6.8737,0.1687,0.1687
13.7250,6.8737,0.1685,0.1685
13.7475,6.8625,0.1696,0.1696
13.7700,6.8625,0.1674,0.1674
13.7925,6.8512,0.1692,0.1692
13.8150,6.8400,0.1684,0.1684
13.8375,6.8400,0.1687,0.1687
13.8600,6.8400,0.1687,0.1687
13.8825,6.8400,0.1687,0.1687
13.9050,6.8400,0.1687,0.1687
13.9275,6.8400,0.1687,0.1687
13.9500,6.8400,0.1687,0.1687
13.9725,6.8400,0.1687,0.1687
13.9950,6.8400,0.1687,0.1687
14.0175,6.8400,0.1687,0.1687
14.0400,6.8400,0.1687,0.1687
14.0625,6.8400,0.1687,0.1687
14.0850,6.8400,0.1687,0.1687
14.1075,6.8400,0.1687,0.1687
14.1300,6.8287,0.1692,0.1692
14.1525,6.8287,0.1710,0.1710
14.1750,6.8287,0.1699,0.1699
14.1975,6.8175,0.1708,0.1708
14.2200,6.8062,0.1687,0.1687
14.2425,6.8062,0.1687,0.1687
