# x_m,y_m,w_tr_right_m,w_tr_left_m
2.3400,7.8412,0.1634,0.1634
2.3512,7.8300,0.1665,0.1665
2.3625,7.8300,0.1661,0.1661
2.3737,7.8300,0.1657,0.1657
2.3850,7.8300,0.1654,0.1654
2.3962,7.8300,0.1652,0.1652
2.4075,7.8300,0.1650,0.1650
2.4187,7.8300,0.1650,0.1650
2.4300,7.8300,0.1650,0.1650
2.4412,7.8300,0.1650,0.1650
2.4525,7.8300,0.1650,0.1650
2.4638,7.8300,0.1650,0.1650
2.4750,7.8300,0.1650,0.1650
2.4863,7.8300,0.1650,0.1650
2.4975,7.8300,0.1650,0.1650
2.5088,7.8300,0.1650,0.1650
2.5200,7.8300,0.1650,0.1650
2.5312,7.8300,0.1650,0.1650
2.5425,7.8300,0.1650,0.1650
2.5537,7.8300,0.1650,0.1650
2.5650,7.8300,0.1650,0.1650
2.5762,7.8300,0.1650,0.1650
2.5875,7.8300,0.1650,0.1650
2.5987,7.8300,0.1650,0.1650
2.6100,7.8300,0.1650,0.1650
2.6212,7.8187,0.1665,0.1665
2.6325,7.8187,0.1671,0.1671
2.6437,7.8187,0.1672,0.1672
2.6550,7.8075,0.1647,0.1647
2.6662,7.8075,0.1656,0.1656
2.6775,7.8075,0.1664,0.1664
2.6887,7.8075,0.1664,0.1664
2.7000,7.8075,0.1656,0.1656
2.7112,7.8075,0.1647,0.1647
2.7225,7.7962,0.1672,0.1672
2.7337,7.7962,0.1671,0.1671
2.7450,7.7962,0.1665,0.1665
2.7563,7.7962,0.1661,0.1661
2.7675,7.7962,0.1657,0.1657
2.7788,7.7962,0.1654,0.1654
2.7900,7.7962,0.1652,0.1652
2.8013,7.7850,0.1684,0.1684
2.8125,7.7850,0.1687,0.1687
2.8237,7.7850,0.1687,0.1687
2.8350,7.7850,0.1687,0.1687
2.8462,7.7850,0.1687,0.1687
2.8575,7.7850,0.1687,0.1687
2.8687,7.7850,0.1687,0.1687
2.8800,7.7850,0.1687,0.1687
2.8912,7.7850,0.1687,0.1687
2.9025,7.7850,0.1687,0.1687
2.9137,7.7850,0.1687,0.1687
2.9250,7.7850,0.1687,0.1687
2.9362,7.7850,0.1687,0.1687
2.9475,7.7850,0.1687,0.1687
2.9587,7.7850,0.1687,0.1687
2.9700,7.7850,0.1687,0.1687
2.9812,7.7850,0.1687,0.1687
2.9925,7.7850,0.1687,0.1687
3.0037,7.7850,0.1687,0.1687
3.0150,7.7850,0.1685,0.1685
3.0263,7.7850,0.1672,0.1672
3.0375,7.7737,0.1652,0.1652
3.0488,7.7737,0.1654,0.1654
3.0600,7.7737,0.1657,0.1657
3.0713,7.7737,0.1661,0.1661
3.0825,7.7737,0.1656,0.1656
3.0938,7.7737,0.1647,0.1647
3.1050,7.7737,0.1640,0.1640
3.1162,7.7625,0.1647,0.1647
3.1275,7.7625,0.1656,0.1656
3.1387,7.7625,0.1661,0.1661
3.1500,7.7625,0.1657,0.1657
3.1612,7.7625,0.1654,0.1654
3.1725,7.7625,0.1652,0.1652
3.1837,7.7625,0.1650,0.1650
3.1950,7.7625,0.1650,0.1650
3.2062,7.7625,0.1650,0.1650
3.2175,7.7512,0.1687,0.1687
3.2287,7.7512,0.1687,0.1687
3.2400,7.7512,0.1687,0.1687
3.2512,7.7512,0.1687,0.1687
3.2625,7.7512,0.1687,0.1687
3.2737,7.7512,0.1687,0.1687
3.2850,7.7512,0.1687,0.1687
3.2962,7.7512,0.1687,0.1687
3.3075,7.7512,0.1687,0.1687
3.3188,7.7512,0.1687,0.1687
3.3300,7.7512,0.1687,0.1687
3.3413,7.7512,0.1687,0.1687
3.3525,7.7512,0.1687,0.1687
3.3638,7.7512,0.1687,0.1687
3.3750,7.7512,0.1687,0.1687
3.3862,7.7512,0.1684,0.1684
3.3975,7.7512,0.1677,0.1677
3.4087,7.7512,0.1671,0.1671
3.4200,7.7512,0.1665,0.1665
3.4312,7.7512,0.1661,0.1661
3.4425,7.7512,0.1657,0.1657
3.4537,7.7512,0.1654,0.1654
3.4650,7.7400,0.1654,0.1654
3.4762,7.7400,0.1657,0.1657
3.4875,7.7400,0.1661,0.1661
3.4987,7.7400,0.1660,0.1660
3.5100,7.7400,0.1649,0.1649
3.5212,7.7400,0.1638,0.1638
3.5325,7.7287,0.1647,0.1647
3.5437,7.7287,0.1656,0.1656
3.5550,7.7287,0.1647,0.1647
3.5662,7.7287,0.1640,0.1640
3.5775,7.7287,0.1634,0.1634
3.5887,7.7287,0.1628,0.1628
3.6000,7.7175,0.1661,0.1661
3.6113,7.7175,0.1657,0.1657
3.6225,7.7175,0.1654,0.1654
3.6338,7.7175,0.1652,0.1652
3.6450,7.7175,0.1650,0.1650
3.6562,7.7175,0.1650,0.1650
3.6675,7.7175,0.1650,0.1650
3.6787,7.7175,0.1650,0.1650
3.6900,7.7175,0.1650,0.1650
3.7012,7.7175,0.1650,0.1650
3.7125,7.7175,0.1650,0.1650
3.7237,7.7175,0.1650,0.1650
3.7350,7.7175,0.1650,0.1650
3.7462,7.7175,0.1650,0.1650
3.7575,7.7175,0.1650,0.1650
3.7687,7.7175,0.1650,0.1650
3.7800,7.7175,0.1650,0.1650
3.7912,7.7175,0.1650,0.1650
3.8025,7.7175,0.1650,0.1650
3.8137,7.7175,0.1650,0.1650
3.8250,7.7175,0.1650,0.1650
3.8362,7.7175,0.1650,0.1650
3.8475,7.7175,0.1650,0.1650
3.8587,7.7175,0.1650,0.1650
3.8700,7.7175,0.1650,0.1650
3.8812,7.7062,0.1650,0.1650
3.8925,7.7062,0.1650,0.1650
3.9038,7.7062,0.1650,0.1650
3.9150,7.7062,0.1650,0.1650
3.9263,7.7062,0.1649,0.1649
3.9375,7.7062,0.1638,0.1638
3.9487,7.7062,0.1628,0.1628
3.9600,7.7062,0.1619,0.1619
3.9712,7.7062,0.1611,0.1611
3.9825,7.6950,0.1616,0.1616
3.9937,7.6950,0.1619,0.1619
4.0050,7.6950,0.1623,0.1623
4.0162,7.6950,0.1623,0.1623
4.0275,7.6950,0.1619,0.1619
4.0388,7.6950,0.1616,0.1616
4.0500,7.6950,0.1614,0.1614
4.0613,7.6950,0.1613,0.1613
4.0725,7.6950,0.1613,0.1613
4.0838,7.6950,0.1613,0.1613
4.0950,7.6950,0.1613,0.1613
4.1063,7.6950,0.1613,0.1613
4.1175,7.6837,0.1650,0.1650
4.1288,7.6837,0.1650,0.1650
4.1400,7.6837,0.1650,0.1650
4.1513,7.6837,0.1650,0.1650
4.1625,7.6837,0.1650,0.1650
4.1738,7.6725,0.1687,0.1687
4.1850,7.6725,0.1687,0.1687
4.1963,7.6725,0.1687,0.1687
4.2075,7.6725,0.1687,0.1687
4.2188,7.6725,0.1687,0.1687
4.2300,7.6725,0.1687,0.1687
4.2412,7.6725,0.1687,0.1687
4.2525,7.6725,0.1687,0.1687
4.2637,7.6725,0.1687,0.1687
4.2750,7.6725,0.1687,0.1687
4.2862,7.6725,0.1687,0.1687
4.2975,7.6725,0.1687,0.1687
4.3087,7.6725,0.1687,0.1687
4.3200,7.6725,0.1687,0.1687
4.3312,7.6725,0.1687,0.1687
4.3425,7.6725,0.1687,0.1687
4.3537,7.6725,0.1687,0.1687
4.3650,7.6725,0.1687,0.1687
4.3762,7.6725,0.1685,0.1685
4.3875,7.6725,0.1672,0.1672
4.3987,7.6612,0.1661,0.1661
4.4100,7.6612,0.1665,0.1665
4.4212,7.6612,0.1671,0.1671
4.4325,7.6612,0.1660,0.1660
4.4437,7.6500,0.1647,0.1647
4.4550,7.6500,0.1656,0.1656
4.4662,7.6500,0.1664,0.1664
4.4775,7.6500,0.1656,0.1656
4.4887,7.6500,0.1647,0.1647
4.5000,7.6500,0.1640,0.1640
4.5112,7.6387,0.1657,0.1657
4.5225,7.6387,0.1661,0.1661
4.5337,7.6387,0.1661,0.1661
4.5450,7.6387,0.1657,0.1657
4.5562,7.6387,0.1654,0.1654
4.5675,7.6387,0.1652,0.1652
4.5787,7.6387,0.1650,0.1650
4.5900,7.6387,0.1650,0.1650
4.6012,7.6387,0.1650,0.1650
4.6125,7.6387,0.1650,0.1650
4.6238,7.6387,0.1650,0.1650
4.6350,7.6387,0.1650,0.1650
4.6463,7.6387,0.1650,0.1650
4.6575,7.6387,0.1650,0.1650
4.6688,7.6387,0.1650,0.1650
4.6800,7.6387,0.1650,0.1650
4.6913,7.6387,0.1650,0.1650
4.7025,7.6387,0.1650,0.1650
4.7138,7.6387,0.1650,0.1650
4.7250,7.6387,0.1650,0.1650
4.7363,7.6387,0.1650,0.1650
4.7475,7.6387,0.1650,0.1650
4.7588,7.6387,0.1650,0.1650
4.7700,7.6387,0.1650,0.1650
4.7812,7.6275,0.1684,0.1684
4.7925,7.6275,0.1687,0.1687
4.8037,7.6275,0.1687,0.1687
4.8150,7.6275,0.1687,0.1687
4.8262,7.6275,0.1687,0.1687
4.8375,7.6275,0.1687,0.1687
4.8487,7.6275,0.1687,0.1687
4.8600,7.6275,0.1684,0.1684
4.8712,7.6275,0.1677,0.1677
4.8825,7.6275,0.1671,0.1671
4.8937,7.6275,0.1665,0.1665
4.9050,7.6275,0.1661,0.1661
4.9162,7.6162,0.1684,0.1684
4.9275,7.6162,0.1691,0.1691
4.9387,7.6162,0.1685,0.1685
4.9500,7.6162,0.1674,0.1674
4.9612,7.6162,0.1664,0.1664
4.9725,7.6162,0.1656,0.1656
4.9837,7.6050,0.1684,0.1684
4.9950,7.6050,0.1677,0.1677
5.0062,7.6050,0.1671,0.1671
5.0175,7.6050,0.1665,0.1665
5.0287,7.6050,0.1661,0.1661
5.0400,7.6050,0.1657,0.1657
5.0512,7.6050,0.1654,0.1654
5.0625,7.6050,0.1652,0.1652
5.0737,7.6050,0.1650,0.1650
5.0850,7.6050,0.1650,0.1650
5.0962,7.6050,0.1650,0.1650
5.1075,7.6050,0.1650,0.1650
5.1187,7.6050,0.1650,0.1650
5.1300,7.6050,0.1650,0.1650
5.1412,7.6050,0.1650,0.1650
5.1525,7.6050,0.1650,0.1650
5.1637,7.6050,0.1650,0.1650
5.1750,7.6050,0.1650,0.1650
5.1863,7.6050,0.1650,0.1650
